SubID,medium,exhibWeeks,price,ageArtistCat,,,CONTINGENCY TABLE,,,,,,,,,,,,,,,,,,,,
subj1,sculpture,29,60.03,1 (less than 20),,,,ageArtistCat,,,,,,,,,,,,,,,,,,,
subj2,sculpture,58,77.54,1 (less than 20),,,medium,1 (less than 20),2 (21-30),3 (31-55),4 (more than 55),Sum,,,,,,,,,,,,,,,
subj16,sculpture,21,51.3,4 (more than 55),,,sqaure / expected,1.6,5.377777778,1.344444444,0.4,,,,t statistic,201.6666667,98.27222222,72.81777778,28.03333333,,,t stat,98.56410256,51.33547009,17.55128205,11.11538462,
subj17,sculpture,15,44.73,2 (21-30),,,,,,,,,,,,,,,,,,,,,,,
subj18,sculpture,36,58.99,1 (less than 20),,,t statsistic ,8.722222222,,,,,,,t stat paintings,400.79,,,,,,t stat sculpture,178.5662393,,,,
subj19,painting,17,36.6,2 (21-30),,,,,,,,,,,,,,,,,,,,,,,
subj20,painting,11,69.24,1 (less than 20),,,,,,,,,,,t stat paintings and sculputres,579.3562393,,,,,,,,,,,
subj21,painting,55,79.51,4 (more than 55),,,,,,,,,,,,,,,,,,,,,,,
subj22,sculpture,43,58.26,1 (less than 20),,,,,,,,,,,,,,,,,,,,,,,
subj23,painting,21,74.92,4 (more than 55),,,,,,,,,,,,,,,,,,,,,,,
subj24,painting,54,69.62,3 (31-55),,,,,,,,,,,,,,,,,,,,,,,
subj25,sculpture,21,56.89,1 (less than 20),,,,,,,,,,,,,,,,,,,,,,,
subj26,painting,47,79.02,4 (more than 55),,,,,,,,,,,,,,,,,,,,,,,
subj27,painting,14,71.82,2 (21-30),,,,,,,,,,,,,,,,,,,,,,,
subj28,painting,12,53.56,3 (31-55),,,,,,,,,,,,,,,,,,,,,,,
subj29,painting,17,65.46,1 (less than 20),,,,,,,,,,,,,,,,,,,,,,,
subj30,painting,29,72.66,3 (31-55),,,,,,,,,,,,,,,,,,,,,,,
subj31,sculpture,18,43.71,1 (less than 20),,,,,,,,,,,,,,,,,,,,,,,
subj32,sculpture,10,54.39,2 (21-30),,,,,,,,,,,,,,,,,,,,,,,
subj33,sculpture,25,57.04,2 (21-30),,,,,,,,,,,,,,,,,,,,,,,
subj34,painting,42,66.93,2 (21-30),,,,,,,,,,,,,,,,,,,,,,,
subj35,sculpture,44,71.23,3 (31-55),,,,,,,,,,,,,,,,,,,,,,,
subj36,sculpture,60,82.7,2 (21-30),,,,,,,,,,,,,,,,,,,,,,,
subj37,sculpture,29,66.35,3 (31-55),,,,,,,,,,,,,,,,,,,,,,,
subj38,sculpture,42,68.3,3 (31-55),,,,,,,,,,,,,,,,,,,,,,,
subj39,painting,34,65.21,1 (less than 20),,,,,,,,,,,,,,,,,,,,,,,
subj40,painting,28,50.8,3 (31-55),,,,,,,,,,,,,,,,,,,,,,,
subj41,painting,41,87.05,2 (21-30),,,,,,,,,,,,,,,,,,,,,,,
subj42,painting,25,39.58,3 (31-55),,,,,,,,,,,,,,,,,,,,,,,
subj43,sculpture,57,78.87,2 (21-30),,,,,,,,,,,,,,,,,,,,,,,
subj44,sculpture,29,70.77,3 (31-55),,,,,,,,,,,,,,,,,,,,,,,
subj45,sculpture,36,63,1 (less than 20),,,,,,,,,,,,,,,,,,,,,,,
subj46,sculpture,59,74.61,2 (21-30),,,,,,,,,,,,,,,,,,,,,,,
subj47,painting,16,46.96,3 (31-55),,,,,,,,,,,,,,,,,,,,,,,
subj48,painting,35,54.98,1 (less than 20),,,,,,,,,,,,,,,,,,,,,,,
subj49,sculpture,13,52.71,1 (less than 20),,,,,,,,,,,,,,,,,,,,,,,
subj50,sculpture,13,54.33,3 (31-55),,,,,,,,,,,,,,,,,,,,,,,
subj51,painting,35,65.05,2 (21-30),,,,,,,,,,,,,,,,,,,,,,,
subj52,sculpture,41,61.48,1 (less than 20),,,,,,,,,,,,,,,,,,,,,,,
subj53,sculpture,19,47.67,1 (less than 20),,,,,,,,,,,,,,,,,,,,,,,
subj54,painting,39,84.47,1 (less than 20),,,,,,,,,,,,,,,,,,,,,,,
subj55,sculpture,58,77.62,2 (21-30),,,,,,,,,,,,,,,,,,,,,,,
subj56,sculpture,32,52.33,2 (21-30),,,,,,,,,,,,,,,,,,,,,,,
subj57,sculpture,28,67.05,1 (less than 20),,,,,,,,,,,,,,,,,,,,,,,
subj58,sculpture,56,100,2 (21-30),,,,,,,,,,,,,,,,,,,,,,,
subj59,sculpture,50,78.67,3 (31-55),,,,,,,,,,,,,,,,,,,,,,,
subj60,painting,25,68.51,3 (31-55),,,,,,,,,,,,,,,,,,,,,,,
subj61,sculpture,10,43.16,1 (less than 20),,,,,,,,,,,,,,,,,,,,,,,
subj62,sculpture,14,51.3,1 (less than 20),,,,,,,,,,,,,,,,,,,,,,,
subj63,sculpture,35,74.8,3 (31-55),,,,,,,,,,,,,,,,,,,,,,,
subj64,painting,59,78.73,1 (less than 20),,,,,,,,,,,,,,,,,,,,,,,
subj65,sculpture,46,72.56,3 (31-55),,,,,,,,,,,,,,,,,,,,,,,
subj66,painting,23,37.15,2 (21-30),,,,,,,,,,,,,,,,,,,,,,,
subj67,painting,20,43.82,4 (more than 55),,,,,,,,,,,,,,,,,,,,,,,
subj68,sculpture,38,55.19,2 (21-30),,,,,,,,,,,,,,,,,,,,,,,
subj69,painting,11,62.77,2 (21-30),,,,,,,,,,,,,,,,,,,,,,,
subj70,sculpture,31,52.19,3 (31-55),,,,,,,,,,,,,,,,,,,,,,,
subj71,sculpture,52,73.85,4 (more than 55),,,,,,,,,,,,,,,,,,,,,,,
subj72,painting,29,55.37,2 (21-30),,,,,,,,,,,,,,,,,,,,,,,
subj73,sculpture,19,41.47,2 (21-30),,,,,,,,,,,,,,,,,,,,,,,
subj74,sculpture,37,52.42,4 (more than 55),,,,,,,,,,,,,,,,,,,,,,,
subj75,sculpture,40,63.22,3 (31-55),,,,,,,,,,,,,,,,,,,,,,,
subj76,painting,49,65.36,2 (21-30),,,,,,,,,,,,,,,,,,,,,,,
subj77,sculpture,53,79.61,3 (31-55),,,,,,,,,,,,,,,,,,,,,,,
subj78,sculpture,46,88.81,2 (21-30),,,,,,,,,,,,,,,,,,,,,,,
subj79,sculpture,53,81.14,1 (less than 20),,,,,,,,,,,,,,,,,,,,,,,
subj80,sculpture,17,51.76,2 (21-30),,,,,,,,,,,,,,,,,,,,,,,
subj81,sculpture,20,34.14,1 (less than 20),,,,,,,,,,,,,,,,,,,,,,,
subj82,painting,36,69.02,3 (31-55),,,,,,,,,,,,,,,,,,,,,,,
subj83,painting,48,62.04,3 (31-55),,,,,,,,,,,,,,,,,,,,,,,
subj84,painting,39,70.47,4 (more than 55),,,,,,,,,,,,,,,,,,,,,,,
subj85,sculpture,47,79.83,2 (21-30),,,,,,,,,,,,,,,,,,,,,,,
subj86,sculpture,48,58.19,3 (31-55),,,,,,,,,,,,,,,,,,,,,,,
subj87,sculpture,49,79.35,3 (31-55),,,,,,,,,,,,,,,,,,,,,,,
subj88,sculpture,18,57.2,2 (21-30),,,,,,,,,,,,,,,,,,,,,,,
subj89,sculpture,30,57.7,4 (more than 55),,,,,,,,,,,,,,,,,,,,,,,
subj90,painting,45,64.73,4 (more than 55),,,,,,,,,,,,,,,,,,,,,,,
subj91,sculpture,58,79.84,2 (21-30),,,,,,,,,,,,,,,,,,,,,,,
subj92,painting,40,76.42,2 (21-30),,,,,,,,,,,,,,,,,,,,,,,
subj93,painting,47,87.17,1 (less than 20),,,,,,,,,,,,,,,,,,,,,,,
subj94,painting,23,58.65,3 (31-55),,,,,,,,,,,,,,,,,,,,,,,
subj95,painting,17,51.73,1 (less than 20),,,,,,,,,,,,,,,,,,,,,,,
subj96,sculpture,25,42.98,4 (more than 55),,,,,,,,,,,,,,,,,,,,,,,
subj97,painting,53,79.04,2 (21-30),,,,,,,,,,,,,,,,,,,,,,,
subj98,painting,59,64.31,3 (31-55),,,,,,,,,,,,,,,,,,,,,,,
subj99,sculpture,59,78.29,2 (21-30),,,,,,,,,,,,,,,,,,,,,,,
subj100,sculpture,15,53.64,3 (31-55),,,,,,,,,,,,,,,,,,,,,,,
subj101,sculpture,57,79.42,4 (more than 55),,,,,,,,,,,,,,,,,,,,,,,
subj102,painting,32,71.29,4 (more than 55),,,,,,,,,,,,,,,,,,,,,,,
subj103,sculpture,60,89.86,1 (less than 20),,,,,,,,,,,,,,,,,,,,,,,
subj104,sculpture,11,37.67,1 (less than 20),,,,,,,,,,,,,,,,,,,,,,,
subj105,painting,38,81.54,2 (21-30),,,,,,,,,,,,,,,,,,,,,,,
subj106,painting,53,76.62,1 (less than 20),,,,,,,,,,,,,,,,,,,,,,,
subj107,painting,23,70.71,1 (less than 20),,,,,,,,,,,,,,,,,,,,,,,
subj108,painting,13,37.74,2 (21-30),,,,,,,,,,,,,,,,,,,,,,,
subj109,painting,58,100,1 (less than 20),,,,,,,,,,,,,,,,,,,,,,,
subj110,painting,43,82.77,1 (less than 20),,,,,,,,,,,,,,,,,,,,,,,
subj111,painting,57,92.3,4 (more than 55),,,,,,,,,,,,,,,,,,,,,,,
subj112,sculpture,57,63.13,4 (more than 55),,,,,,,,,,,,,,,,,,,,,,,
subj113,sculpture,45,77.49,2 (21-30),,,,,,,,,,,,,,,,,,,,,,,
subj114,painting,17,65.02,4 (more than 55),,,,,,,,,,,,,,,,,,,,,,,
subj115,sculpture,20,31.04,2 (21-30),,,,,,,,,,,,,,,,,,,,,,,
subj116,sculpture,11,54.99,3 (31-55),,,,,,,,,,,,,,,,,,,,,,,
subj117,painting,51,59.14,3 (31-55),,,,,,,,,,,,,,,,,,,,,,,
subj118,sculpture,46,75.63,3 (31-55),,,,,,,,,,,,,,,,,,,,,,,
subj119,painting,23,49.09,2 (21-30),,,,,,,,,,,,,,,,,,,,,,,
subj120,painting,20,57.09,4 (more than 55),,,,,,,,,,,,,,,,,,,,,,,
subj121,painting,12,54.17,4 (more than 55),,,,,,,,,,,,,,,,,,,,,,,
subj122,sculpture,16,63.07,1 (less than 20),,,,,,,,,,,,,,,,,,,,,,,
subj123,sculpture,57,75.36,4 (more than 55),,,,,,,,,,,,,,,,,,,,,,,
subj124,sculpture,42,81.51,2 (21-30),,,,,,,,,,,,,,,,,,,,,,,
subj125,painting,39,61.29,4 (more than 55),,,,,,,,,,,,,,,,,,,,,,,
subj126,painting,39,69.03,1 (less than 20),,,,,,,,,,,,,,,,,,,,,,,
subj127,painting,45,73.22,1 (less than 20),,,,,,,,,,,,,,,,,,,,,,,
subj128,painting,49,67.9,1 (less than 20),,,,,,,,,,,,,,,,,,,,,,,
subj129,sculpture,11,30.51,3 (31-55),,,,,,,,,,,,,,,,,,,,,,,
subj130,sculpture,52,68.91,1 (less than 20),,,,,,,,,,,,,,,,,,,,,,,
subj131,sculpture,44,79.06,3 (31-55),,,,,,,,,,,,,,,,,,,,,,,
subj132,painting,46,63.97,2 (21-30),,,,,,,,,,,,,,,,,,,,,,,
subj133,sculpture,19,52.6,1 (less than 20),,,,,,,,,,,,,,,,,,,,,,,
subj134,sculpture,58,59.7,2 (21-30),,,,,,,,,,,,,,,,,,,,,,,
subj135,painting,47,63.77,3 (31-55),,,,,,,,,,,,,,,,,,,,,,,
subj136,sculpture,56,64.12,1 (less than 20),,,,,,,,,,,,,,,,,,,,,,,
subj137,sculpture,25,58.71,2 (21-30),,,,,,,,,,,,,,,,,,,,,,,
subj138,sculpture,16,55.18,2 (21-30),,,,,,,,,,,,,,,,,,,,,,,
subj139,painting,34,63.54,3 (31-55),,,,,,,,,,,,,,,,,,,,,,,
subj140,sculpture,18,62.63,1 (less than 20),,,,,,,,,,,,,,,,,,,,,,,
subj141,painting,32,62.77,2 (21-30),,,,,,,,,,,,,,,,,,,,,,,
subj142,painting,15,57.73,2 (21-30),,,,,,,,,,,,,,,,,,,,,,,
subj143,sculpture,44,59.9,1 (less than 20),,,,,,,,,,,,,,,,,,,,,,,
subj144,painting,44,78.23,1 (less than 20),,,,,,,,,,,,,,,,,,,,,,,
subj145,painting,22,67.55,1 (less than 20),,,,,,,,,,,,,,,,,,,,,,,
